"iso3","country","mean","lower","upper"
"AFG","Afghanistan",0.0578334087688333,-0.024789095,0.155354625
"AZE","Azerbaijan",-0.775219688333333,-0.90257525,-0.631110275
"MNE","Montenegro",-0.915814693888889,-1.01334225,-0.8106253
"MAR","Morocco",-0.0374066547888889,-0.116358125,0.0581074674999999
"MOZ","Mozambique",-0.0699865305446778,-0.14603105,0.02189994
"MMR","Myanmar (Burma)",0.101418299738889,0.015258945,0.198387
"NAM","Namibia",0.0607650758619778,-0.020163035,0.154128775
"NPL","Nepal",0.293440576666667,0.2057088,0.392481225
"NLD","Netherlands",-0.177027947722222,-0.245914425,-0.0925438875
"NZL","New Zealand",-0.329815761666667,-0.411965775,-0.233265075
"NIC","Nicaragua",0.10126958011,0.0133953025,0.1970329
"NER","Niger",0.328939031111111,0.243418525,0.432795875
"BHS","Bahamas",-0.749334844444444,-0.98519175,-0.51250985
"NGA","Nigeria",-0.359849148888889,-0.4331626,-0.27214855
"MKD","North Macedonia",0.185540291833333,0.1071959,0.27999695
"NOR","Norway",-0.476522478333333,-0.550898725,-0.387066275
"PAK","Pakistan",-0.445587675555556,-0.527782925,-0.34887135
"PSE","Palestinian Territories",-0.911150418333333,-1.039719,-0.78123315
"PAN","Panama",0.205902173,0.114215475,0.3074581
"PNG","Papua New Guinea",0.952775971666667,0.743241825,1.17214275
"PRY","Paraguay",0.372096743888889,0.287726775,0.4626031
"PER","Peru",0.392549987222222,0.313590025,0.4930069
"PHL","Philippines",0.665276002777778,0.590262425,0.7553884
"BHR","Bahrain",-1.20249457222222,-1.33950525,-1.0658565
"POL","Poland",-0.286947156111111,-0.356700225,-0.197313725
"PRT","Portugal",0.291333452777778,0.225191725,0.375001675
"ROU","Romania",-0.148174386388889,-0.22063045,-0.0594801275
"RUS","Russia",-0.545709656111111,-0.618587825,-0.45782665
"RWA","Rwanda",0.669943959444444,0.496694225,0.850442
"WSM","Samoa",0.160646478818556,-0.11074185,0.418280225
"STP","São Tomé & Príncipe",-0.0301572132000556,-0.146696775,0.0921864799999999
"SAU","Saudi Arabia",-1.07357658888889,-1.17080725,-0.966840125
"SEN","Senegal",0.128855613777778,0.05072177,0.220851025
"SRB","Serbia",-0.00961969009363887,-0.0898566,0.0825774599999999
"BGD","Bangladesh",0.0640589117288889,-0.0244389425,0.165091625
"SYC","Seychelles",0.791480323888889,0.636243,0.95163615
