country,mean,lower,upper
Afghanistan,0.057833408768833326,-0.024789095,0.15535462499999997
Azerbaijan,-0.7752196883333333,-0.90257525,-0.6311102750000002
Montenegro,-0.9158146938888889,-1.01334225,-0.8106253000000001
Morocco,-0.03740665478888888,-0.11635812499999999,0.05810746749999989
Mozambique,-0.06998653054467778,-0.14603105,0.02189993999999999
Myanmar (Burma),0.10141829973888888,0.015258945000000001,0.19838699999999998
Namibia,0.06076507586197778,-0.020163035,0.15412877499999975
Nepal,0.2934405766666667,0.20570880000000002,0.39248122499999993
Netherlands,-0.17702794772222222,-0.245914425,-0.09254388749999999
New Zealand,-0.32981576166666665,-0.411965775,-0.23326507500000015
Nicaragua,0.10126958011000001,0.013395302500000003,0.1970328999999999
Niger,0.3289390311111111,0.243418525,0.43279587499999994
Bahamas,-0.7493348444444444,-0.98519175,-0.5125098500000003
Nigeria,-0.35984914888888886,-0.4331626,-0.27214855
North Macedonia,0.18554029183333334,0.10719590000000001,0.27999694999999997
Norway,-0.47652247833333333,-0.5508987249999999,-0.387066275
Pakistan,-0.44558767555555556,-0.527782925,-0.34887135
Palestinian Territories,-0.9111504183333333,-1.039719,-0.7812331500000002
Panama,0.205902173,0.11421547500000001,0.3074580999999999
Papua New Guinea,0.9527759716666666,0.743241825,1.17214275
Paraguay,0.3720967438888889,0.28772677500000005,0.46260309999999977
Peru,0.39254998722222223,0.31359002499999994,0.49300689999999997
Philippines,0.6652760027777778,0.590262425,0.7553884
Bahrain,-1.2024945722222222,-1.33950525,-1.0658565000000002
Poland,-0.2869471561111111,-0.356700225,-0.197313725
Portugal,0.2913334527777778,0.225191725,0.375001675
Romania,-0.1481743863888889,-0.22063045,-0.05948012750000004
Russia,-0.5457096561111111,-0.618587825,-0.45782665000000006
Rwanda,0.6699439594444444,0.49669422500000004,0.8504419999999998
Samoa,0.16064647881855554,-0.11074185,0.41828022499999995
São Tomé & Príncipe,-0.030157213200055565,-0.146696775,0.09218647999999995
Saudi Arabia,-1.0735765888888888,-1.17080725,-0.966840125
Senegal,0.1288556137777778,0.05072177,0.22085102499999995
Serbia,-0.009619690093638871,-0.0898566,0.08257745999999995
Bangladesh,0.0640589117288889,-0.024438942499999998,0.16509162499999988
Seychelles,0.7914803238888889,0.636243,0.9516361499999999
Sierra Leone,0.26560241611111113,0.18564805,0.35486044999999977
Singapore,-0.4328242422222222,-0.518005175,-0.336283425
Slovakia,-0.21110645733333333,-0.27937235,-0.12359174999999999
Slovenia,0.17948948883333335,0.105712575,0.274612675
Solomon Islands,0.8008551266666667,0.5960691250000001,1.00187575
Somalia,-0.5538843305555555,-0.7226250249999999,-0.37968017500000006
South Africa,-0.03235520606352778,-0.10698122500000001,0.05782768249999985
South Korea,0.14227225838888888,0.06629557999999999,0.234551175
Spain,0.32083179666666667,0.254503225,0.40881535
Barbados,-0.25490322573,-0.6144648500000001,0.09521635999999989
Sri Lanka,0.04852752271866668,-0.03539155,0.151563075
Sudan,-0.5043283477777778,-0.6009050250000001,-0.390094675
Sweden,-0.15478834605555555,-0.22298487500000003,-0.06879303
Switzerland,-0.18971436805555555,-0.25825405,-0.1024949
Taiwan,0.009847036767888891,-0.06908954249999999,0.10415812499999998
Tajikistan,-0.03445356266794445,-0.111290075,0.05638368749999998
Tanzania,-0.26783473444444444,-0.34260275,-0.17686917500000018
Thailand,-0.15439563288333333,-0.236563575,-0.056310252500000005
Togo,0.28359643944444446,0.204979825,0.37537685
Trinidad & Tobago,0.19770370005355556,-0.012554624999999998,0.42286444999999995
Belarus,-0.8354103927777777,-1.0047707499999998,-0.669675225
Tunisia,-0.3460706438888889,-0.42447562499999997,-0.2536026
Turkey,0.007098137449777783,-0.0756173725,0.10477912499999993
Turkmenistan,-0.35777159722222224,-0.4482511,-0.2514160500000001
Uganda,0.48474220944444446,0.41136035000000004,0.573248075
Ukraine,-0.18303385216666665,-0.270314125,-0.08649220500000003
United Arab Emirates,-0.8827648344444444,-0.981078675,-0.77645525
United Kingdom,-0.02093394570705556,-0.0956934525,0.06695275749999997
United States,-0.4694108533333333,-0.547150225,-0.37821535
Uruguay,0.21148176255555556,0.125801425,0.3096743249999999
Uzbekistan,-0.5313131677777778,-0.608611625,-0.43815960000000004
Belgium,-0.16017148622222224,-0.226704025,-0.07052235750000002
Vanuatu,0.9689372277777778,0.7558437,1.1920425
Venezuela,0.26866872833333333,0.18744045,0.3664183999999998
Vietnam,0.21714884366666667,0.13078547499999998,0.3200761749999999
Yemen,-0.8140198838888889,-0.95189995,-0.6748202
Zambia,0.14932069127777778,0.07084008500000001,0.250147325
Zimbabwe,0.09475036621444445,0.0169146625,0.18494302499999998
Benin,0.46059077444444446,0.384856875,0.5511463499999999
Bhutan,1.0792080083333333,0.90864035,1.2616807499999998
Bolivia,0.4508564761111111,0.37120190000000003,0.54486345
Albania,-0.017288453569222224,-0.11093952500000001,0.08606691999999988
Bosnia & Herzegovina,0.14605181628888889,0.05780999,0.25145812500000003
